x1,y1,x2,y2,x3,y3
0.0,0.0,149500000000.0,0.0,149500000000.0,384000000.0
0.11691312552378268,3.649637192841945e-06,149499961546.35632,107208215.36934961,149496282346.73688,491190395.8023871
0.46765256619000806,0.00018227841363473244,149499846181.31805,214416806.30693713,149492488119.05496,598345529.6226387
1.0522182659472574,0.0007035663827792375,149499653900.81775,321625717.60343426,149488617649.0735,705465351.0278845
1.8706100485974422,0.001735193700559318,149499384700.82825,428834894.01067734,149484671268.89603,812549812.7390606
2.922827617795487,0.003444840539275927,149499038577.36285,536044280.24170095,149480649310.58316,919598870.6305044
4.208870557049069,0.00600018700148609,149498615526.47577,643253820.9707736,149476552106.1251,1026612483.7293775
5.728738329718421,0.009568913033890541,149498115544.2624,750463460.8334357,149472379987.41428,1133590614.214918
7.482430279016183,0.01431869834122101,149497538626.85968,857673144.4265397,149468133286.21796,1240533227.4175184
9.46994562800732,0.020417222300127196,149496884770.44644,964882816.3082918,149463812334.1509,1347440291.8176332
11.691283479609089,0.028032163873063575,149496153971.2437,1072092420.9982969,149459417462.6479,1454311779.04451
14.14644281659107,0.03733120152217605,149495346225.51514,1179301902.9776042,149454949002.9363,1561147663.8747478
16.83542250157526,0.04848201312318853,149494461529.56717,1286511206.6887565,149450407286.0088,1667947924.230681
19.758221277036206,0.06165227587928961,149493499879.74954,1393720276.5358403,149445792642.59573,1774712541.1785848
22.914837765301222,0.07700966623501927,149492461272.45554,1500929056.884539,149441105403.13782,1881441498.9267063
26.305270468550628,0.0947218597901558,149491345704.12234,1608137492.0621881,149436345897.75858,1988134784.8231158
29.929517768818087,0.11495653121360296,149490153171.23145,1715345526.3578327,149431514456.23694,2094792389.3533778
33.78757792799098,0.13788135415727754,149488883670.3088,1822553104.0222864,149426611407.97964,2201414306.138044
37.879449087810826,0.16366400116999721,149487537197.9254,1929760169.2681937,149421637081.99377,2308000531.929962
42.20512926987379,0.19247214361136905,149486113750.69742,2036966666.2700934,149416591806.85925,2414551066.6114006
46.764616375631206,0.22447345156567836,149484613325.28662,2144172539.164486,149411475910.70123,2521065913.1909904
51.557908186390215,0.25983559375577847,149483035918.4008,2251377732.0499005,149406289721.16254,2627545077.8004775
56.585002363314416,0.29872623745698096,149481381526.79388,2358582188.986967,149401033565.37604,2733988569.691288
61.845896447424586,0.34131304841094684,149479650147.2666,2465785853.99849,149395707769.93707,2840396401.2309046
67.34058785959945,0.38776369073957867,149477841776.66647,2572988671.0695224,149390312660.87573,2946768587.8990445
73.06907390057656,0.4382458268589134,149475956411.88837,2680190584.147445,149384848563.62927,3053105148.2836514
79.03135175095312,0.49292711739301637,149473994049.8748,2787391537.1420474,149379315803.01443,3159406104.0766845
85.22741847118702,0.5519752210878766,149471954687.61624,2894591473.925608,149373714703.1996,3265671480.0697117
91.6572710015978,0.6155577947253028,149469838322.15155,3001790338.3329835,149368045587.6771,3371901304.1493006
98.32090616236775,0.6838424930368212,149467644950.56815,3108988074.161693,149362308779.23553,3478095607.2922077
105.21832065354297,0.7569969686175745,149465374570.00253,3216184625.1720114,149356504599.93192,3584254423.560363
112.34951105503467,0.8351888718402214,149463027177.64047,3323379935.08706,149350633371.06384,3690377790.095641
119.71447382662028,0.9185858507688395,149460602770.71753,3430573947.592903,149344695413.1416,3796465747.1144304
127.31320530794488,1.0073555510728276,149458101346.51917,3537766606.338647,149338691045.86038,3902518337.90198
135.14570171852247,1.1016656159408116,149455522902.3813,3644957854.9365387,149332620588.0724,4008535608.806539
143.21195915773745,1.20168368599455,149452867435.6905,3752147636.9620714,149326484357.7588,4114517609.233272
151.51197360484602,1.307577399202844,149450134943.88443,3859335895.954089,149320282672.00195,4220464391.6379547
160.04574091897783,1.419514390795446,149447325424.45215,3966522575.414898,149314015846.9573,4326376011.520448
168.81325683913744,1.5376622931769728,149444438874.9345,4073707618.810375,149307684197.82544,4432252527.417939
177.81451698420605,1.66218873584082,149441475292.92435,4180890969.570085,149301288038.82404,4538094000.897962
187.04951685294327,1.7932613452830783,149438434676.06702,4288072571.0873966,149294827683.15985,4643900496.551177
196.51825182398872,1.9310477449164514,149435317022.06058,4395252366.719604,149288303443.00067,4749672081.983918
206.220717155864,2.0757155549841766,149432122328.6563,4502430299.788048,149281715629.44714,4855408827.810502
216.15690798697452,2.2274323924739496,149428850593.65887,4609606313.578245,149275064552.50476,4961110807.645291
226.32681933561148,2.386365871031847,149425501814.92676,4716780351.340015,149268350521.05566,5066778098.0945215
236.73044609995378,2.5526836008762577,149422075990.37265,4823952356.287615,149261573842.83054,5172410778.747869
247.3677830580702,2.7265531887118084,149418573117.96368,4931122271.59987,149254734824.38043,5278008932.169774
258.23882486792144,2.9081422376433017,149414993195.72192,5038290040.420317,149247833771.0486,5383572643.890514
269.3435660673623,3.097618347089648,149411336221.72455,5145455605.857346,149240870986.94235,5489102002.397006
280.68200107414395,3.295149112697805,149407602194.10434,5252618910.984342,149233846774.9047,5594597099.12336
292.2541241859162,3.50090212625672,149403791111.04993,5359779898.839834,149226761436.48633,5700058028.441163
304.05992958023,3.7150449756112724,149399902970.80618,5466938512.4276495,149219615271.91727,5805484887.649497
316.09941131453957,3.9377452445762207,149395937771.67456,5574094694.717065,149212408580.07874,5910877776.964688
328.372563326205,4.169170512850152,149391895512.01346,5681248388.642967,149205141658.4748,6016236799.509778
340.8793794324949,4.4094883559294376,149387776190.23853,5788399537.106013,149197814803.20428,6121562061.303721
353.6198533305888,4.658866345022186,149383579804.82306,5895548082.972795,149190428308.9325,6226853671.250304
