x1,y1,x2,y2,x3,y3
0.0,0.0,149500000000.0,0.0,149500000000.0,384000000.0
1.1691312552378268,3.649637192841944e-05,149499615463.56326,107210153.6934961,149495936267.3687,491031958.02387094
4212.379912621889,0.13149642805809528,148114515218.43356,222175757.6664258,148107170529.44525,-35863239.99304159
12633.632344099955,0.39437979505850057,145344699264.61087,344896811.9187891,145333702786.22958,-1196685594.0507374
25264.92642568944,0.7886865973731443,141190167602.0952,475373316.45058596,141175533037.72174,-2991435104.1492167
42106.26215739033,1.3144168350020264,135650920230.88657,613605271.2618165,135632661283.92169,-5420111770.28848
63157.63953920264,1.9715705079451469,128726957150.98495,759592676.3524806,128705087524.82945,-8482715592.468527
88419.05857112637,2.760147616202506,120418278362.39037,913335531.7225784,120392811760.44504,-12179246570.689358
117890.5192531615,3.6801481597741033,110724883865.1028,1074833837.3721097,110695833990.76843,-16509704704.950972
151572.02158530807,4.7315721386599385,99646773659.12225,1244087593.3010745,99614154215.79964,-21474089995.253365
189463.56556756605,5.9144195528600125,87183947744.44873,1421096799.5094728,87147772435.53865,-27072402441.596542
231565.15119993544,7.228690402374325,73336406121.08223,1605861455.997305,73296688649.98549,-33304642043.980503
277876.77848241624,8.674384687202876,58104148789.02276,1798381562.7645705,58060902859.140144,-40170808802.40525
328398.44741500844,10.251502407345665,41487175748.27031,1998657119.8112698,41440415063.00262,-47670902716.87078
383130.1579977121,11.960043562802694,23485486998.824886,2206688127.137403,23435225261.572903,-55804923787.37709
442071.91023052717,13.80000815357396,4099082540.6864843,2422474584.7429695,4045333454.8510013,-64572872013.92419
505223.7041134536,15.771396179659465,-16672037626.14489,2646016492.6279697,-16729260357.163082,-73974747396.51207
572585.5396464915,17.87420764105921,-38827873501.66924,2877313850.7924037,-38888556174.46935,-84010549935.14075
644157.4168296409,20.108442537773193,-62368425085.886566,3116366659.2362714,-62432553997.0678,-94680279629.8102
719939.3356629016,22.474100869801415,-87293692378.79688,3363174917.9595723,-87361253824.95845,-105983936480.52043
799931.2961462737,24.971182637143873,-113603675380.40015,3617738626.962307,-113674655658.14128,-117921520487.27145
884133.2982797573,27.59968783980057,-141298374090.6964,3880057786.2444754,-141372759496.61627,-130493031650.06326
972545.3420633522,30.359616477771507,-170377788509.68564,4150132395.806077,-170455565340.38345,-143698469968.89584
1065167.4274970586,33.25096855105668,-200841918637.36786,4427962455.647112,-200923073189.4428,-157537835443.76923
1161999.5545808764,36.27374405965609,-232690764473.74304,4713547965.76758,-232775283043.79437,-172011128074.68338
1263041.7233148057,39.42794300356974,-265924326018.81122,5006888926.167482,-266012194903.4381,-187118347861.6383
1368293.9336988463,42.713565382797626,-300542603272.5724,5307985336.846818,-300633808768.374,-202859494804.63403
1477756.1857329984,46.13061119733975,-336545596235.02655,5616837197.805588,-336640124638.6021,-219234568903.67053
1591428.479417262,49.679080447196114,-373933304906.1737,5933444509.043791,-374031142514.1224,-236243570158.74783
1709310.8147516367,53.358973132366714,-412705729286.0138,6257807270.561427,-412806862394.9349,-253886498569.8659
1831403.191736123,57.17028925285155,-452862869374.5469,6589925482.358498,-452967284281.03955,-272163354137.02478
1957705.6103707207,61.11302880865063,-494404725171.77295,6929799144.435001,-494512408172.4364,-291074136860.2244
2088218.0706554297,65.18719179976395,-537331296677.692,7277428256.790938,-537442234069.1254,-310618846739.46484
2222940.57259025,69.39277822619151,-581642583892.3041,7632812819.42631,-581756761971.1067,-330797483774.74603
